"Cart Items","محتويات السلة",""
"Clear","مسح",""
"Last 7 Days","آخر 7 أيام",""
"Last 30 Days","آخر 30 يوم",""
"All Status","جميع الحالات",""
"Partly Paid","مدفوع جزئياً",""
"Overdue","مستحق / متأخر",""
"Negative Stock","مخزون بالسالب",""
"Cart","السلة",""
"Welcome to POS Next","مرحباً بك في POS Next",""
"Please open a shift to start making sales","يرجى فتح وردية لبدء البيع",""
"Clear Cart?","إفراغ السلة؟",""
"Remove all {0} items from cart?","هل تريد حذف جميع الأصناف ({0}) من السلة؟",""
"Clear All","حذف الكل",""
"Sign Out Confirmation","تأكيد الخروج",""
"Your Shift is Still Open!","الوردية لا تزال مفتوحة!",""
"Close your shift first to save all transactions properly","يجب إغلاق الوردية أولاً لضمان ترحيل كافة العمليات بشكل صحيح.",""
"Close Shift & Sign Out","إغلاق الوردية والخروج",""
"Skip & Sign Out","خروج دون إغلاق",""
"Sign Out?","تسجيل الخروج؟",""
"You will be logged out of POS Next","سيتم تسجيل خروجك من POS Next",""
"Sign Out","خروج",""
"Signing Out...","جاري الخروج...",""
"Invoice Created Successfully","تم إنشاء الفاتورة",""
"Invoice {0} created successfully!","تم إنشاء الفاتورة {0} بنجاح!",""
"Total: {0}","الإجمالي: {0}",""
"An unexpected error occurred.","حدث خطأ غير متوقع.",""
"Delete Invoice","حذف الفاتورة",""
"Try Again","حاول مرة أخرى",""
"Tax mode updated. Cart recalculated with new tax settings.","تم تحديث نظام الضرائب. تمت إعادة حساب السلة.",""
"Discount settings changed. Cart recalculated.","تغيرت إعدادات الخصم. تمت إعادة حساب السلة.",""
"Prices are now tax-inclusive. This will apply to new items added to cart.","الأسعار الآن شاملة الضريبة (للأصناف الجديدة).",""
"Prices are now tax-exclusive. This will apply to new items added to cart.","الأسعار الآن غير شاملة الضريبة (للأصناف الجديدة).",""
"Negative stock sales are now allowed","البيع بالسالب مسموح الآن",""
"Negative stock sales are now restricted","البيع بالسالب غير مسموح",""
"Credit Sale","بيع آجل",""
"Write Off Change","شطب الكسور / الفكة",""
"Partial Payment","سداد جزئي",""
"Silent Print","طباعة مباشرة",""
"{0} settings applied immediately","تم تطبيق إعدادات {0}",""
"You can now start making sales","يمكنك البدء بالبيع الآن",""
"Shift closed successfully","تم إغلاق الوردية بنجاح",""
"Insufficient Stock","الرصيد غير كافٍ",""
"Item: {0}","الصنف: {0}",""
"\"{0}\" cannot be added to cart. Bundle is out of stock. Allow Negative Stock is disabled.","لا يمكن إضافة \"{0}\". المجموعة غير متوفرة (البيع بالسالب معطل).",""
"\"{0}\" cannot be added to cart. Item is out of stock. Allow Negative Stock is disabled.","لا يمكن إضافة \"{0}\". الصنف غير متوفر (البيع بالسالب معطل).",""
"{0} selected","تم تحديد {0}",""
"Please add items to cart before proceeding to payment","يرجى إضافة أصناف للسلة قبل الدفع",""
"Please select a customer before proceeding","يرجى اختيار العميل أولاً",""
"Invoice saved offline. Will sync when online","حُفظت الفاتورة محلياً (بدون اتصال). ستتم المزامنة لاحقاً.",""
"Unknown","غير معروف",""
"Invoice {0} created and sent to printer","تم إصدار الفاتورة {0} وإرسالها للطباعة",""
"Invoice {0} created but print failed","تم إصدار الفاتورة {0} لكن فشلت الطباعة",""
"Invoice {0} created successfully","تم إصدار الفاتورة {0} بنجاح",""
"All items removed from cart","تم إفراغ السلة",""
"{0} added to cart","أضيف للسلة: {0}",""
"{0} ({1}) added to cart","أضيف للسلة: {0} ({1})",""
"Failed to process selection. Please try again.","فشل الاختيار. يرجى المحاولة مرة أخرى.",""
"Return invoice {0} created successfully","تم عمل مرتجع للفاتورة {0} بنجاح",""
"Creating return for invoice {0}","جاري إنشاء مرتجع للفاتورة {0}",""
"{0} created and selected","تم إنشاء واختيار {0}",""
"All cached data has been cleared successfully","تم تنظيف الذاكرة المؤقتة بنجاح",""
"Failed to clear cache. Please try again.","فشل مسح الذاكرة المؤقتة.",""
"Your point of sale system is ready to use.","النظام جاهز للاستخدام.",""
"Shift Status","حالة الوردية",""
"Shift is Open","الوردية مفتوحة",""
"<strong>POS Profile:<strong> {0}","<strong>نقطة البيع:<strong> {0}",""
"<strong>Company:<strong>","<strong>الشركة:<strong>",""
"<strong>Opened:<strong>","<strong>وقت الفتح:<strong>",""
"Start Sale","بدء البيع",""
"No Active Shift","لا توجد وردية مفتوحة",""
"You need to open a shift before you can start making sales.","يجب فتح وردية قبل البدء في عمليات البيع.",""
"System Test","فحص النظام",""
"Test Connection","فحص الاتصال",""
"✓ Connection successful: {0}","✓ الاتصال ناجح: {0}",""
"✗ Connection failed: {0}","✗ فشل الاتصال: {0}",""
"Confirm Sign Out","تأكيد الخروج",""
"Active Shift Detected","تنبيه: الوردية مفتوحة",""
"You have an active shift open. Would you like to:","لديك وردية نشطة حالياً. ماذا تريد أن تفعل؟",""
"Are you sure you want to sign out of POS Next?","هل أنت متأكد من تسجيل الخروج من POS Next؟",""
"Sign Out Only","تسجيل الخروج فقط",""
"TAX INVOICE","فاتورة ضريبية",""
"Invoice #:","رقم الفاتورة:",""
"Date:","التاريخ:",""
"Customer:","العميل:",""
"Status:","الحالة:",""
"PARTIAL PAYMENT","سداد جزئي",""
"(FREE)","(مجاني)",""
"Subtotal:","المجموع الفرعي:",""
"Tax:","الضريبة:",""
"TOTAL:","الإجمالي:",""
"Total Paid:","إجمالي المدفوع:",""
"Change:","الباقي:",""
"BALANCE DUE:","المبلغ المستحق:",""
"Thank you for your business!","شكراً لتعاملكم معنا!",""
"Invoice - {0}","فاتورة رقم {0}",""
"Offline invoice deleted successfully","تم حذف الفاتورة (غير المرحلة) بنجاح",""
"Failed to delete offline invoice","فشل حذف الفاتورة",""
"Cannot sync while offline","لا يمكن المزامنة (لا يوجد اتصال)",""
"{0} invoice(s) synced successfully","تمت مزامنة {0} فاتورة",""
"Loading customers for offline use...","تجهيز بيانات العملاء للعمل دون اتصال...",""
"Data is ready for offline use","البيانات جاهزة للعمل دون اتصال",""
"Some data may not be available offline","بعض البيانات قد لا تتوفر دون اتصال",""
"POS is offline without cached data. Please connect to sync.","النظام غير متصل ولا توجد بيانات محفوظة. يرجى الاتصال بالإنترنت.",""
"{0} applied successfully","تم تطبيق {0}",""
"Discount has been removed from cart","تم إلغاء الخصم",""
"Add items to the cart before applying an offer.","أضف أصنافاً للسلة قبل تطبيق العرض.",""
"Your cart doesn't meet the requirements for this offer.","السلة لا تستوفي شروط هذا العرض.",""
"Failed to apply offer. Please try again.","فشل تطبيق العرض. حاول مجدداً.",""
"Offer has been removed from cart","تم حذف العرض من السلة",""
"Failed to update cart after removing offer.","فشل تحديث السلة بعد حذف العرض.",""
"Unit changed to {0}","تغيرت الوحدة إلى {0}",""
"Failed to update UOM. Please try again.","فشل تغيير وحدة القياس.",""
"{0} updated successfully","تم تحديث {0}",""
"Failed to update item. Please try again.","فشل تحديث الصنف.",""
"{0}h {1}m {2}s","{0}س {1}د {2}ث",""
"Sync Complete","اكتملت المزامنة",""
"Search by phone: {0}","بحث بالهاتف: {0}",""
"Search by email: {0}","بحث بالبريد: {0}",""
"Create new customer: {0}","إنشاء عميل جديد: {0}",""
"From {0}","من {0}",""
"Until {0}","إلى {0}",""
"Validation Error","خطأ في البيانات",""
"Permission Denied","غير مصرح لك",""
"Not Found","غير موجود",""
"Server Error","خطأ في الخادم",""
"Not enough stock available in the warehouse.\n\nPlease reduce the quantity or check stock availability.","لا يوجد مخزون كافٍ في المستودع.\n\nيرجى تقليل الكمية أو التحقق من توفر المخزون.",""
"Pricing Error","خطأ في التسعير",""
"Customer Error","خطأ في العميل",""
"Tax Configuration Error","خطأ في إعداد الضريبة",""
"Payment Error","خطأ في الدفع",""
"Naming Series Error","خطأ في سلسلة التسمية",""
"Connection Error","خطأ في الاتصال",""
"Unable to connect to server. Check your internet connection.","تعذر الاتصال بالخادم. تحقق من اتصالك بالإنترنت.",""
"Duplicate Entry","إدخال مكرر",""
"Error Report - POS Next","تقرير الخطأ - POS Next",""
"Title: {0}","العنوان: {0}",""
"Type: {0}","النوع: {0}",""
"Message: {0}","الرسالة: {0}",""
"Technical: {0}","تقني: {0}",""
"Timestamp: {0}","الطابع الزمني: {0}",""
"User: {0}","المستخدم: {0}",""
"POS Profile: {0}","ملف نقطة البيع: {0}",""
"Partial Payments","الدفعات الجزئية",""
"Manage invoices with pending payments","إدارة الفواتير ذات الدفعات المعلقة",""
"{0} invoice - {1} outstanding","{0} فاتورة - {1} مستحق",""
"{0} invoices - {1} outstanding","{0} فواتير - {1} مستحق",""
"Loading invoices...","جاري تحميل الفواتير...",""
"No Partial Payments","لا توجد دفعات جزئية",""
"All invoices are either fully paid or unpaid","جميع الفواتير إما مدفوعة بالكامل أو غير مدفوعة",""
"Add Payment","إضافة دفعة",""
"Payment History","سجل الدفعات",""
"Failed to load partial payments","فشل في تحميل الدفعات الجزئية",""
"Payment added successfully","تمت إضافة الدفعة بنجاح",""
"Failed to add payment","فشل في إضافة الدفعة",""
"Open POS Shift","فتح وردية نقطة البيع",""
"Select POS Profile","اختيار ملف نقطة البيع",""
"No POS Profiles available. Please contact your administrator.","لا توجد ملفات نقطة بيع متاحة. يرجى التواصل مع المسؤول.",""
"Change Profile","تغيير الملف",""
"Opening Balance (Optional)","الرصيد الافتتاحي (اختياري)",""
"No payment methods configured for this POS Profile","لم يتم تكوين طرق دفع لملف نقطة البيع هذا",""
"Existing Shift Found","تم العثور على وردية موجودة",""
"You have an open shift. Would you like to resume it or close it and open a new one?","لديك وردية مفتوحة. هل تريد استئنافها أو إغلاقها وفتح وردية جديدة؟",""
"<strong>POS Profile:</strong> {0}","<strong>ملف نقطة البيع:</strong> {0}",""
"<strong>Opened:</strong> {0}","<strong>تم الفتح:</strong> {0}",""
"Resume Shift","استئناف الوردية",""
"Close & Open New","إغلاق وفتح جديد",""
"Back","رجوع",""
"At least {0} items required","مطلوب {0} عناصر على الأقل",""
"Maximum {0} items allowed for this offer","الحد الأقصى {0} عناصر مسموحة لهذا العرض",""
"Minimum cart value of {0} required","مطلوب قيمة سلة لا تقل عن {0}",""
"Maximum cart value exceeded ({0})","تم تجاوز الحد الأقصى لقيمة السلة ({0})",""
"Cart does not contain eligible items for this offer","السلة لا تحتوي على منتجات مؤهلة لهذا العرض",""
"Cart does not contain items from eligible groups","السلة لا تحتوي على منتجات من المجموعات المؤهلة",""
"Cannot save an empty cart as draft","لا يمكن حفظ سلة فارغة كمسودة",""
"Invoice saved as draft successfully","تم حفظ الفاتورة كمسودة بنجاح",""
"Failed to save draft","فشل في حفظ المسودة",""
"Draft invoice loaded successfully","تم تحميل مسودة الفاتورة بنجاح",""
"Failed to load draft","فشل في تحميل المسودة",""
"Close POS Shift","إغلاق وردية نقطة البيع",""
"Loading shift data...","جاري تحميل بيانات الوردية...",""
"Calculating totals and reconciliation...","جاري حساب الإجماليات والتسوية...",""
"Duration","المدة",""
"Total Sales","إجمالي المبيعات",""
"{0} invoices","{0} فواتير",""
"Net Amount","صافي المبلغ",""
"Before tax","قبل الضريبة",""
"Items Sold","المنتجات المباعة",""
"Total items","إجمالي العناصر",""
"Tax Collected","الضريبة المحصلة",""
"Total tax","إجمالي الضريبة",""
"No Sales During This Shift","لا مبيعات خلال هذه الوردية",""
"No invoices were created. Closing amounts should match opening amounts.","لم يتم إنشاء فواتير. يجب أن تتطابق مبالغ الإغلاق مع مبالغ الافتتاح.",""
"Invoice Details","تفاصيل الفاتورة",""
"{0} transactions • {1}","{0} معاملات • {1}",""
"N/A","غير متوفر",""
"Total:","الإجمالي:",""
"Payment Reconciliation","تسوية الدفعات",""
"✓ Shift Closed","✓ تم إغلاق الوردية",""
"Total Variance","إجمالي الفرق",""
"Enter actual amount for {0}","أدخل المبلغ الفعلي لـ {0}",""
"Expected: <span class=\"font-medium\">{0}</span>","المتوقع: <span class=\"font-medium\">{0}</span>",""
"✓ Balanced","✓ متوازن",""
"Over {0}","زيادة {0}",""
"Short {0}","نقص {0}",""
"Opening","الافتتاح",""
"Shift start","بداية الوردية",""
"Expected","المتوقع",""
"No sales","لا مبيعات",""
"Actual Amount *","المبلغ الفعلي *",""
"Final Amount","المبلغ النهائي",""
"Count & enter","عد وأدخل",""
"Cash Over","زيادة نقدية",""
"Cash Short","نقص نقدي",""
"You have more than expected.","لديك أكثر من المتوقع.",""
"You have less than expected.","لديك أقل من المتوقع.",""
"Total Expected","إجمالي المتوقع",""
"Total Actual","إجمالي الفعلي",""
"Net Variance","صافي الفرق",""
"Tax Summary","ملخص الضريبة",""
"Total Tax Collected","إجمالي الضريبة المحصلة",""
"Error Closing Shift","خطأ في إغلاق الوردية",""
"Dismiss","إغلاق",""
"Failed to Load Shift Data","فشل في تحميل بيانات الوردية",""
"Please enter all closing amounts","يرجى إدخال جميع مبالغ الإغلاق",""
"✓ Shift closed successfully","✓ تم إغلاق الوردية بنجاح",""
"Closing Shift...","جاري إغلاق الوردية...",""
"{0}h {1}m","{0}س {1}د",""
"{0}m","{0}د",""
"-- Select --","-- اختر --",""
"Select Customer","اختيار عميل",""
"Search and select a customer for the transaction","البحث واختيار عميل للمعاملة",""
"Search customers by name, mobile, or email...","البحث عن العملاء بالاسم أو الهاتف أو البريد...",""
"Search customers","البحث عن العملاء",""
"⭐ Recent & Frequent","⭐ الأحدث والأكثر تكراراً",""
"{0} of {1} customers","{0} من {1} عميل",""
"• Use ↑↓ to navigate, Enter to select","• استخدم ↑↓ للتنقل، Enter للاختيار",""
"Loading customers...","جاري تحميل العملاء...",""
"No customers available","لا يوجد عملاء متاحين",""
"Create your first customer to get started","قم بإنشاء أول عميل للبدء",""
"No results for \"{0}\"","لا توجد نتائج لـ \"{0}\"",""
"Try a different search term or create a new customer","جرب مصطلح بحث مختلف أو أنشئ عميلاً جديداً",""
"+ Create New Customer","+ إنشاء عميل جديد",""
"All Items","جميع المنتجات",""
"Syncing catalog in background... {0} items cached","جاري مزامنة الكتالوج في الخلفية... {0} عنصر مخزن",""
"Search items","البحث عن منتجات",""
"Barcode Scanner: ON (Click to disable)","ماسح الباركود: مفعل (انقر للتعطيل)",""
"Barcode Scanner: OFF (Click to enable)","ماسح الباركود: معطل (انقر للتفعيل)",""
"Disable barcode scanner","تعطيل ماسح الباركود",""
"Enable barcode scanner","تفعيل ماسح الباركود",""
"Auto-Add: ON - Press Enter to add items to cart","الإضافة التلقائية: مفعلة - اضغط Enter لإضافة منتجات للسلة",""
"Auto-Add: OFF - Click to enable automatic cart addition on Enter","الإضافة التلقائية: معطلة - انقر لتفعيل الإضافة التلقائية عند Enter",""
"Disable auto-add","تعطيل الإضافة التلقائية",""
"Enable auto-add","تفعيل الإضافة التلقائية",""
"Auto","تلقائي",""
"Grid View","عرض شبكي",""
"Switch to grid view","التبديل إلى العرض الشبكي",""
"List View","عرض قائمة",""
"Switch to list view","التبديل إلى عرض القائمة",""
"Sorted by {0} A-Z","مرتب حسب {0} أ-ي",""
"Sorted by {0} Z-A","مرتب حسب {0} ي-أ",""
"Sort items","ترتيب المنتجات",""
"Sort Items","ترتيب المنتجات",""
"No Sorting","بدون ترتيب",""
"Loading items...","جاري تحميل المنتجات...",""
"No results for {0} in {1}","لا توجد نتائج لـ {0} في {1}",""
"No results in {0}","لا توجد نتائج في {0}",""
"No results for {0}","لا توجد نتائج لـ {0}",""
"No items available","لا توجد منتجات متاحة",""
"{0}: {1} {2}","{0}: {1} {2}",""
"Nos","قطعة",""
"Check availability in other warehouses","التحقق من التوفر في مستودعات أخرى",""
"Check Availability in All Wherehouses","التحقق من التوفر في كل المستودعات",
"Selected","اختيار",
"Check warehouse availability","التحقق من توفر المستودع",""
"Loading more items...","جاري تحميل المزيد من المنتجات...",""
"All items loaded","تم تحميل جميع المنتجات",""
"{0} items found","تم العثور على {0} منتج",""
"{0} - {1} of {2}","{0} - {1} من {2}",""
"Go to first page","الذهاب للصفحة الأولى",""
"Go to previous page","الذهاب للصفحة السابقة",""
"Go to page {0}","الذهاب للصفحة {0}",""
"Go to next page","الذهاب للصفحة التالية",""
"Go to last page","الذهاب للصفحة الأخيرة",""
"Code","الرمز",""
"Rate","السعر",""
"Qty","الكمية",""
"UOM","وحدة القياس",""
"{0}: {1} Bundles","{0}: {1} حزم",""
"Auto-Add ON - Type or scan barcode","الإضافة التلقائية مفعلة - اكتب أو امسح الباركود",""
"Scanner ON - Enable Auto for automatic addition","الماسح مفعل - فعّل التلقائي للإضافة التلقائية",""
"Search by item code, name or scan barcode","البحث برمز المنتج أو الاسم أو مسح الباركود",""
"Item Not Found: No item found with barcode: {0}","المنتج غير موجود: لم يتم العثور على منتج بالباركود: {0}",""
"Multiple Items Found: {0} items match barcode. Please refine search.","تم العثور على منتجات متعددة: {0} منتج يطابق الباركود. يرجى تحسين البحث.",""
"Multiple Items Found: {0} items match. Please select one.","تم العثور على منتجات متعددة: {0} منتج. يرجى اختيار واحد.",""
"Loading invoice details...","جاري تحميل تفاصيل الفاتورة...",""
"Return Against:","إرجاع مقابل:",""
